hotel_name,district,price,rating,scraped_month,views,target_start_week,target_start_month,target_start_month_day,target_end_week,target_end_month,target_end_month_day
Nathan Hotel,Yau Tsim Mong,5228,8.0,Apr,1334,N/A,N/A,N/A,N/A,N/A,N/A
Harbour Grand Hong Kong,Hong Kong Island,5580,8.2,Apr,3775,N/A,N/A,N/A,N/A,N/A,N/A
"Page148, Page Hotels",Yau Tsim Mong,5147,8.6,Apr,2855,N/A,N/A,N/A,N/A,N/A,N/A
Hotel ICON,Yau Tsim Mong,7350,8.8,Apr,1734,N/A,N/A,N/A,N/A,N/A,N/A
"Dorsett Wanchai, Hong Kong",Hong Kong Island,4640,7.5,Apr,1224,N/A,N/A,N/A,N/A,N/A,N/A
Lan Kwai Fong Hotel - Kau U Fong,Hong Kong Island,5222,7.8,Apr,742,N/A,N/A,N/A,N/A,N/A,N/A
"Dorsett Mongkok, Hong Kong",Yau Tsim Mong,4560,7.9,Apr,1426,N/A,N/A,N/A,N/A,N/A,N/A
B P International,Yau Tsim Mong,4770,7.6,Apr,1965,N/A,N/A,N/A,N/A,N/A,N/A
One-Eight-One Hotel & Serviced Residences,Hong Kong Island,7000,9.0,Apr,480,N/A,N/A,N/A,N/A,N/A,N/A
The Kowloon Hotel,Yau Tsim Mong,5580,7.4,Apr,3406,N/A,N/A,N/A,N/A,N/A,N/A
Nathan Hotel,Yau Tsim Mong,5503,8.0,Apr,1334,N/A,N/A,N/A,N/A,N/A,N/A
