hotel_name,district,price,rating,scraped_month,views,target_start_week,target_start_month,target_start_month_day,target_end_week,target_end_month,target_end_month_day
Hotel ICON,Yau Tsim Mong,7062,8.8,Apr,1741,N/A,N/A,N/A,N/A,N/A,N/A
Four Seasons Hotel Hong Kong,Hong Kong Island,15222,9.4,Apr,307,N/A,N/A,N/A,N/A,N/A,N/A
"Island Shangri-La, Hong Kong",Hong Kong Island,11700,8.8,Apr,401,N/A,N/A,N/A,N/A,N/A,N/A
Grand Hyatt Hong Kong,Hong Kong Island,8205,8.9,Apr,1082,N/A,N/A,N/A,N/A,N/A,N/A
"The Murray, Hong Kong, a Niccolo Hotel",Hong Kong Island,9040,8.9,Apr,303,N/A,N/A,N/A,N/A,N/A,N/A
Hyatt Centric Victoria Harbour,Hong Kong Island,6690,8.1,Apr,1829,N/A,N/A,N/A,N/A,N/A,N/A
The Langham Hong Kong,Yau Tsim Mong,7680,8.4,Apr,902,N/A,N/A,N/A,N/A,N/A,N/A
The Ritz-Carlton Hong Kong,Yau Tsim Mong,13000,9.3,Apr,379,N/A,N/A,N/A,N/A,N/A,N/A
Royal Park Hotel,Sha Tin,4550,8.0,Apr,2242,N/A,N/A,N/A,N/A,N/A,N/A
"Dorsett Wanchai, Hong Kong",Hong Kong Island,4479,7.5,Apr,1235,N/A,N/A,N/A,N/A,N/A,N/A
"Cordis, Hong Kong",Yau Tsim Mong,5625,8.5,Apr,2627,N/A,N/A,N/A,N/A,N/A,N/A
Renaissance Hong Kong Harbour View Hotel,Hong Kong Island,6480,8.0,Apr,725,N/A,N/A,N/A,N/A,N/A,N/A
Lan Kwai Fong Hotel - Kau U Fong,Hong Kong Island,5033,7.8,Apr,750,N/A,N/A,N/A,N/A,N/A,N/A
Ibis Hong Kong Central & Sheung Wan,Hong Kong Island,3239,7.8,Apr,2791,N/A,N/A,N/A,N/A,N/A,N/A
"Dorsett Mongkok, Hong Kong",Yau Tsim Mong,4619,7.9,Apr,1434,N/A,N/A,N/A,N/A,N/A,N/A
Prudential Hotel,Yau Tsim Mong,3761,7.4,Apr,1241,N/A,N/A,N/A,N/A,N/A,N/A
B P International,Yau Tsim Mong,4429,7.6,Apr,1973,N/A,N/A,N/A,N/A,N/A,N/A
Novotel Century Hong Kong,Hong Kong Island,4130,8.0,Apr,1220,N/A,N/A,N/A,N/A,N/A,N/A
W Hong Kong,Yau Tsim Mong,8910,8.6,Apr,369,N/A,N/A,N/A,N/A,N/A,N/A
Conrad Hong Kong,Hong Kong Island,7680,8.2,Apr,449,N/A,N/A,N/A,N/A,N/A,N/A
Royal Plaza Hotel,Yau Tsim Mong,6078,8.3,Apr,4411,N/A,N/A,N/A,N/A,N/A,N/A
Harbour Grand Hong Kong,Hong Kong Island,5580,8.2,Apr,3799,N/A,N/A,N/A,N/A,N/A,N/A
The Kowloon Hotel,Yau Tsim Mong,4358,7.4,Apr,3418,N/A,N/A,N/A,N/A,N/A,N/A
"Holiday Inn Golden Mile, an IHG Hotel",Yau Tsim Mong,5820,8.2,Apr,2249,N/A,N/A,N/A,N/A,N/A,N/A
JW Marriott Hotel Hong Kong,Hong Kong Island,8586,8.3,Apr,428,N/A,N/A,N/A,N/A,N/A,N/A
Eaton HK,Yau Tsim Mong,4644,8.2,Apr,2776,N/A,N/A,N/A,N/A,N/A,N/A
Ibis Hong Kong Central & Sheung Wan,Hong Kong Island,3811,7.8,Apr,2791,N/A,N/A,N/A,N/A,N/A,N/A
Butterfly on Wellington Boutique Hotel Central,Hong Kong Island,4372,8.2,Apr,1171,N/A,N/A,N/A,N/A,N/A,N/A
"Page148, Page Hotels",Yau Tsim Mong,4780,8.6,Apr,2860,N/A,N/A,N/A,N/A,N/A,N/A
Royal Park Hotel,Sha Tin,4725,8.0,Apr,2242,N/A,N/A,N/A,N/A,N/A,N/A
"Dorsett Mongkok, Hong Kong",Yau Tsim Mong,4613,7.9,Apr,1434,N/A,N/A,N/A,N/A,N/A,N/A
Prudential Hotel,Yau Tsim Mong,3756,7.4,Apr,1241,N/A,N/A,N/A,N/A,N/A,N/A
Royal Plaza Hotel,Yau Tsim Mong,6806,8.3,Apr,4411,N/A,N/A,N/A,N/A,N/A,N/A
Harbour Grand Hong Kong,Hong Kong Island,5067,8.2,Apr,3799,N/A,N/A,N/A,N/A,N/A,N/A
